test_who,song_id,test_order,f1_score,feat,mode
5,2,1,0.8855,acc + gyr + near,rest-to-one
5,2,2,0.8702,acc + gyr + near,rest-to-one
5,2,3,0.8737,acc + gyr + near,rest-to-one
5,2,1,0.9128,acc + gyr + near,all-to-one
5,2,2,0.9032,acc + gyr + near,all-to-one
5,2,3,0.882,acc + gyr + near,all-to-one
6,2,1,0.9303,acc + gyr + near,one-to-one
6,2,2,0.9257,acc + gyr + near,one-to-one
6,2,3,0.9477,acc + gyr + near,one-to-one
6,2,1,0.845,acc + gyr + near,rest-to-one
6,2,2,0.8533,acc + gyr + near,rest-to-one
6,2,3,0.87,acc + gyr + near,rest-to-one
6,2,1,0.9053,acc + gyr + near,all-to-one
6,2,2,0.9003,acc + gyr + near,all-to-one
6,2,3,0.9121,acc + gyr + near,all-to-one
7,2,1,0.9494,acc + gyr + near,one-to-one
7,2,2,0.9561,acc + gyr + near,one-to-one
7,2,3,0.9625,acc + gyr + near,one-to-one
7,2,1,0.89,acc + gyr + near,rest-to-one
7,2,2,0.9046,acc + gyr + near,rest-to-one
7,2,3,0.9164,acc + gyr + near,rest-to-one
7,2,1,0.9163,acc + gyr + near,all-to-one
7,2,2,0.93,acc + gyr + near,all-to-one
7,2,3,0.9499,acc + gyr + near,all-to-one
8,2,1,0.9007,acc + gyr + near,one-to-one
8,2,2,0.8963,acc + gyr + near,one-to-one
8,2,3,0.914,acc + gyr + near,one-to-one
8,2,1,0.8681,acc + gyr + near,rest-to-one
8,2,2,0.8738,acc + gyr + near,rest-to-one
8,2,3,0.8994,acc + gyr + near,rest-to-one
8,2,1,0.8682,acc + gyr + near,all-to-one
8,2,2,0.8884,acc + gyr + near,all-to-one
8,2,3,0.9025,acc + gyr + near,all-to-one
1,2,1,0.7724,acc + gyr,one-to-one
1,2,2,0.7338,acc + gyr,one-to-one
1,2,3,0.6823,acc + gyr,one-to-one
1,2,1,0.6798,acc + gyr,rest-to-one
1,2,2,0.6676,acc + gyr,rest-to-one
1,2,3,0.7507,acc + gyr,rest-to-one
1,2,1,0.717,acc + gyr,all-to-one
1,2,2,0.7002,acc + gyr,all-to-one
1,2,3,0.7549,acc + gyr,all-to-one
2,2,1,0.9126,acc + gyr,one-to-one
2,2,2,0.9279,acc + gyr,one-to-one
2,2,3,0.882,acc + gyr,one-to-one
2,2,1,0.864,acc + gyr,rest-to-one
2,2,2,0.8521,acc + gyr,rest-to-one
2,2,3,0.8175,acc + gyr,rest-to-one
2,2,1,0.9016,acc + gyr,all-to-one
2,2,2,0.9069,acc + gyr,all-to-one
2,2,3,0.8627,acc + gyr,all-to-one
3,2,1,0.7846,acc + gyr,one-to-one
3,2,2,0.7893,acc + gyr,one-to-one
3,2,3,0.8276,acc + gyr,one-to-one
3,2,1,0.7917,acc + gyr,rest-to-one
3,2,2,0.7734,acc + gyr,rest-to-one
3,2,3,0.7864,acc + gyr,rest-to-one
3,2,1,0.7796,acc + gyr,all-to-one
3,2,2,0.7784,acc + gyr,all-to-one
3,2,3,0.8116,acc + gyr,all-to-one
4,2,1,0.8894,acc + gyr,one-to-one
4,2,2,0.8413,acc + gyr,one-to-one
4,2,3,0.8019,acc + gyr,one-to-one
4,2,1,0.7124,acc + gyr,rest-to-one
4,2,2,0.6913,acc + gyr,rest-to-one
4,2,3,0.6799,acc + gyr,rest-to-one
4,2,1,0.8318,acc + gyr,all-to-one
4,2,2,0.8027,acc + gyr,all-to-one
4,2,3,0.7786,acc + gyr,all-to-one
5,2,1,0.8533,acc + gyr,one-to-one
